OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
2 1193 6-NA 470 0.6 10000 4 0.6106
3 2114 6-NA 470 0.6 10000 4 0.6106
4 2284 6-NA 470 0.6 10000 4 0.6106
5 1920 6-NA 470 0.6 10000 4 0.6106
6 1106 6-NA 470 0.6 10000 4 0.6106
7 557 6-NA 470 0.6 10000 4 0.6106
8 185 6-NA 470 0.6 10000 4 0.6106
9 45 6-NA 470 0.6 10000 4 0.6106
10 8 6-NA 470 0.6 10000 4 0.6106
11 1 6-NA 470 0.6 10000 4 0.6106
0 138 6-NA 470 0.65 10000 4 0.5343
1 657 6-NA 470 0.65 10000 4 0.5343
2 1591 6-NA 470 0.65 10000 4 0.5343
3 2271 6-NA 470 0.65 10000 4 0.5343
4 2308 6-NA 470 0.65 10000 4 0.5343
5 1591 6-NA 470 0.65 10000 4 0.5343
6 906 6-NA 470 0.65 10000 4 0.5343
7 366 6-NA 470 0.65 10000 4 0.5343
8 133 6-NA 470 0.65 10000 4 0.5343
9 32 6-NA 470 0.65 10000 4 0.5343
10 6 6-NA 470 0.65 10000 4 0.5343
11 1 6-NA 470 0.65 10000 4 0.5343
0 180 6-NA 470 0.7 10000 4 0.4587
1 861 6-NA 470 0.7 10000 4 0.4587
2 1942 6-NA 470 0.7 10000 4 0.4587
3 2430 6-NA 470 0.7 10000 4 0.4587
4 2148 6-NA 470 0.7 10000 4 0.4587
5 1385 6-NA 470 0.7 10000 4 0.4587
6 694 6-NA 470 0.7 10000 4 0.4587
7 261 6-NA 470 0.7 10000 4 0.4587
8 77 6-NA 470 0.7 10000 4 0.4587
9 19 6-NA 470 0.7 10000 4 0.4587
10 3 6-NA 470 0.7 10000 4 0.4587
0 283 6-NA 470 0.75 10000 4 0.4075
1 1064 6-NA 470 0.75 10000 4 0.4075
2 2068 6-NA 470 0.75 10000 4 0.4075
3 2510 6-NA 470 0.75 10000 4 0.4075
4 2013 6-NA 470 0.75 10000 4 0.4075
5 1237 6-NA 470 0.75 10000 4 0.4075
6 558 6-NA 470 0.75 10000 4 0.4075
7 206 6-NA 470 0.75 10000 4 0.4075
8 53 6-NA 470 0.75 10000 4 0.4075
9 7 6-NA 470 0.75 10000 4 0.4075
10 1 6-NA 470 0.75 10000 4 0.4075
0 333 6-NA 470 0.8 10000 4 0.358
1 1260 6-NA 470 0.8 10000 4 0.358
2 2304 6-NA 470 0.8 10000 4 0.358
3 2523 6-NA 470 0.8 10000 4 0.358
4 1909 6-NA 470 0.8 10000 4 0.358
5 1060 6-NA 470 0.8 10000 4 0.358
6 440 6-NA 470 0.8 10000 4 0.358
7 124 6-NA 470 0.8 10000 4 0.358
8 36 6-NA 470 0.8 10000 4 0.358
9 8 6-NA 470 0.8 10000 4 0.358
10 3 6-NA 470 0.8 10000 4 0.358
0 415 6-NA 470 0.85 10000 4 0.3121
1 1552 6-NA 470 0.85 10000 4 0.3121
2 2451 6-NA 470 0.85 10000 4 0.3121
3 2461 6-NA 470 0.85 10000 4 0.3121
4 1736 6-NA 470 0.85 10000 4 0.3121
5 891 6-NA 470 0.85 10000 4 0.3121
6 357 6-NA 470 0.85 10000 4 0.3121
7 110 6-NA 470 0.85 10000 4 0.3121
8 22 6-NA 470 0.85 10000 4 0.3121
9 4 6-NA 470 0.85 10000 4 0.3121
10 1 6-NA 470 0.85 10000 4 0.3121
0 470 6-NA 470 0.9 10000 4 0.2733
1 1661 6-NA 470 0.9 10000 4 0.2733
2 2577 6-NA 470 0.9 10000 4 0.2733
3 2559 6-NA 470 0.9 10000 4 0.2733
4 1564 6-NA 470 0.9 10000 4 0.2733
5 814 6-NA 470 0.9 10000 4 0.2733
6 251 6-NA 470 0.9 10000 4 0.2733
7 80 6-NA 470 0.9 10000 4 0.2733
8 19 6-NA 470 0.9 10000 4 0.2733
9 4 6-NA 470 0.9 10000 4 0.2733
10 1 6-NA 470 0.9 10000 4 0.2733
0 608 6-NA 470 0.95 10000 4 0.2397
1 1836 6-NA 470 0.95 10000 4 0.2397
2 2771 6-NA 470 0.95 10000 4 0.2397
3 2388 6-NA 470 0.95 10000 4 0.2397
4 1502 6-NA 470 0.95 10000 4 0.2397
5 625 6-NA 470 0.95 10000 4 0.2397
6 204 6-NA 470 0.95 10000 4 0.2397
7 53 6-NA 470 0.95 10000 4 0.2397
8 12 6-NA 470 0.95 10000 4 0.2397
9 1 6-NA 470 0.95 10000 4 0.2397
0 692 6-NA 470 1 10000 4 0.2125
1 2027 6-NA 470 1 10000 4 0.2125
2 2812 6-NA 470 1 10000 4 0.2125
3 2344 6-NA 470 1 10000 4 0.2125
4 1365 6-NA 470 1 10000 4 0.2125
5 534 6-NA 470 1 10000 4 0.2125
6 165 6-NA 470 1 10000 4 0.2125
7 47 6-NA 470 1 10000 4 0.2125
8 13 6-NA 470 1 10000 4 0.2125
9 1 6-NA 470 1 10000 4 0.2125
13 3 other 3458 0.1 10000 7 1
14 13 other 3458 0.1 10000 7 1
15 32 other 3458 0.1 10000 7 1
16 69 other 3458 0.1 10000 7 1
17 122 other 3458 0.1 10000 7 1
18 261 other 3458 0.1 10000 7 1
19 378 other 3458 0.1 10000 7 1
20 598 other 3458 0.1 10000 7 1
21 841 other 3458 0.1 10000 7 1
22 990 other 3458 0.1 10000 7 1
23 1191 other 3458 0.1 10000 7 1
24 1279 other 3458 0.1 10000 7 1
25 1152 other 3458 0.1 10000 7 1
26 1010 other 3458 0.1 10000 7 1
27 800 other 3458 0.1 10000 7 1
28 531 other 3458 0.1 10000 7 1
29 336 other 3458 0.1 10000 7 1
30 194 other 3458 0.1 10000 7 1
31 108 other 3458 0.1 10000 7 1
32 53 other 3458 0.1 10000 7 1
33 30 other 3458 0.1 10000 7 1
34 5 other 3458 0.1 10000 7 1
35 3 other 3458 0.1 10000 7 1
37 1 other 3458 0.1 10000 7 1
6 7 other 3458 0.15 10000 7 0.9993
7 12 other 3458 0.15 10000 7 0.9993
8 35 other 3458 0.15 10000 7 0.9993
9 116 other 3458 0.15 10000 7 0.9993
10 199 other 3458 0.15 10000 7 0.9993
11 396 other 3458 0.15 10000 7 0.9993
12 578 other 3458 0.15 10000 7 0.9993
13 846 other 3458 0.15 10000 7 0.9993
14 1033 other 3458 0.15 10000 7 0.9993
15 1242 other 3458 0.15 10000 7 0.9993
16 1328 other 3458 0.15 10000 7 0.9993
17 1152 other 3458 0.15 10000 7 0.9993
18 952 other 3458 0.15 10000 7 0.9993
19 786 other 3458 0.15 10000 7 0.9993
20 559 other 3458 0.15 10000 7 0.9993
21 353 other 3458 0.15 10000 7 0.9993
22 220 other 3458 0.15 10000 7 0.9993
23 86 other 3458 0.15 10000 7 0.9993
24 62 other 3458 0.15 10000 7 0.9993
25 27 other 3458 0.15 10000 7 0.9993
26 8 other 3458 0.15 10000 7 0.9993
27 3 other 3458 0.15 10000 7 0.9993
3 7 other 3458 0.2 10000 7 0.976
4 12 other 3458 0.2 10000 7 0.976
5 46 other 3458 0.2 10000 7 0.976
6 175 other 3458 0.2 10000 7 0.976
7 321 other 3458 0.2 10000 7 0.976
8 597 other 3458 0.2 10000 7 0.976
9 840 other 3458 0.2 10000 7 0.976
10 1172 other 3458 0.2 10000 7 0.976
11 1304 other 3458 0.2 10000 7 0.976
12 1331 other 3458 0.2 10000 7 0.976
13 1247 other 3458 0.2 10000 7 0.976
14 1085 other 3458 0.2 10000 7 0.976
15 767 other 3458 0.2 10000 7 0.976
16 515 other 3458 0.2 10000 7 0.976
17 283 other 3458 0.2 10000 7 0.976
18 155 other 3458 0.2 10000 7 0.976
19 91 other 3458 0.2 10000 7 0.976
20 34 other 3458 0.2 10000 7 0.976
21 16 other 3458 0.2 10000 7 0.976
22 1 other 3458 0.2 10000 7 0.976
23 1 other 3458 0.2 10000 7 0.976
2 17 other 3458 0.25 10000 7 0.8711
3 69 other 3458 0.25 10000 7 0.8711
4 165 other 3458 0.25 10000 7 0.8711
5 371 other 3458 0.25 10000 7 0.8711
6 667 other 3458 0.25 10000 7 0.8711
7 970 other 3458 0.25 10000 7 0.8711
8 1349 other 3458 0.25 10000 7 0.8711
9 1469 other 3458 0.25 10000 7 0.8711
10 1351 other 3458 0.25 10000 7 0.8711
11 1229 other 3458 0.25 10000 7 0.8711
12 926 other 3458 0.25 10000 7 0.8711
13 664 other 3458 0.25 10000 7 0.8711
14 377 other 3458 0.25 10000 7 0.8711
15 196 other 3458 0.25 10000 7 0.8711
16 108 other 3458 0.25 10000 7 0.8711
17 45 other 3458 0.25 10000 7 0.8711
18 16 other 3458 0.25 10000 7 0.8711
19 8 other 3458 0.25 10000 7 0.8711
20 2 other 3458 0.25 10000 7 0.8711
22 1 other 3458 0.25 10000 7 0.8711
0 2 other 3458 0.3 10000 7 0.704
1 8 other 3458 0.3 10000 7 0.704
2 68 other 3458 0.3 10000 7 0.704
3 226 other 3458 0.3 10000 7 0.704
4 491 other 3458 0.3 10000 7 0.704
5 845 other 3458 0.3 10000 7 0.704
6 1320 other 3458 0.3 10000 7 0.704
7 1507 other 3458 0.3 10000 7 0.704
8 1605 other 3458 0.3 10000 7 0.704
9 1327 other 3458 0.3 10000 7 0.704
10 1030 other 3458 0.3 10000 7 0.704
11 702 other 3458 0.3 10000 7 0.704
12 436 other 3458 0.3 10000 7 0.704
13 226 other 3458 0.3 10000 7 0.704
14 116 other 3458 0.3 10000 7 0.704
15 61 other 3458 0.3 10000 7 0.704
16 22 other 3458 0.3 10000 7 0.704
17 5 other 3458 0.3 10000 7 0.704
18 3 other 3458 0.3 10000 7 0.704
0 4 other 3458 0.35 10000 7 0.5309
1 52 other 3458 0.35 10000 7 0.5309
2 181 other 3458 0.35 10000 7 0.5309
