Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
8-NS1 9 8 8 46163 231 0.1 100000 0.70042
8-NS1 9 8 9 29958 231 0.1 100000 0.70042
8-NS1 9 8 5 18 231 0.15 100000 0.51956
8-NS1 9 8 6 913 231 0.15 100000 0.51956
8-NS1 9 8 7 10538 231 0.15 100000 0.51956
8-NS1 9 8 8 40487 231 0.15 100000 0.51956
8-NS1 9 8 9 48044 231 0.15 100000 0.51956
8-NS1 9 8 5 9 231 0.2 100000 0.42026
8-NS1 9 8 6 412 231 0.2 100000 0.42026
8-NS1 9 8 7 6425 231 0.2 100000 0.42026
8-NS1 9 8 8 35180 231 0.2 100000 0.42026
8-NS1 9 8 9 57974 231 0.2 100000 0.42026
8-NS1 9 8 5 1 231 0.25 100000 0.34891
8-NS1 9 8 6 207 231 0.25 100000 0.34891
8-NS1 9 8 7 4208 231 0.25 100000 0.34891
8-NS1 9 8 8 30475 231 0.25 100000 0.34891
8-NS1 9 8 9 65109 231 0.25 100000 0.34891
8-NS1 9 8 5 2 231 0.3 100000 0.29753
8-NS1 9 8 6 101 231 0.3 100000 0.29753
8-NS1 9 8 7 3050 231 0.3 100000 0.29753
8-NS1 9 8 8 26600 231 0.3 100000 0.29753
8-NS1 9 8 9 70247 231 0.3 100000 0.29753
8-NS1 9 8 6 78 231 0.35 100000 0.25758
8-NS1 9 8 7 2329 231 0.35 100000 0.25758
8-NS1 9 8 8 23351 231 0.35 100000 0.25758
8-NS1 9 8 9 74242 231 0.35 100000 0.25758
8-NS1 9 8 6 60 231 0.4 100000 0.23032
8-NS1 9 8 7 1723 231 0.4 100000 0.23032
8-NS1 9 8 8 21249 231 0.4 100000 0.23032
8-NS1 9 8 9 76968 231 0.4 100000 0.23032
8-NS1 9 8 6 33 231 0.45 100000 0.20335
8-NS1 9 8 7 1386 231 0.45 100000 0.20335
8-NS1 9 8 8 18916 231 0.45 100000 0.20335
8-NS1 9 8 9 79665 231 0.45 100000 0.20335
8-NS1 9 8 6 32 231 0.5 100000 0.18473
8-NS1 9 8 7 1149 231 0.5 100000 0.18473
8-NS1 9 8 8 17292 231 0.5 100000 0.18473
8-NS1 9 8 9 81527 231 0.5 100000 0.18473
8-NS1 9 8 6 21 231 0.55 100000 0.17015
8-NS1 9 8 7 946 231 0.55 100000 0.17015
8-NS1 9 8 8 16048 231 0.55 100000 0.17015
8-NS1 9 8 9 82985 231 0.55 100000 0.17015
8-NS1 9 8 6 10 231 0.6 100000 0.15659
8-NS1 9 8 7 827 231 0.6 100000 0.15659
8-NS1 9 8 8 14822 231 0.6 100000 0.15659
8-NS1 9 8 9 84341 231 0.6 100000 0.15659
8-NS1 9 8 6 13 231 0.65 100000 0.14684
8-NS1 9 8 7 711 231 0.65 100000 0.14684
8-NS1 9 8 8 13960 231 0.65 100000 0.14684
